,Tweet
0,RT RepAOC The 857 billion budget passed Congress week 45 billion higher President requested To put
1,And I Congress structures 1 Your paycheck Feb You work full month city paid Your 1st month pay work required DC rent home rent living expenses furnishings w income
2,And make feel credit It speak character worth A lot folks US credit system objective reliable It designed deeply slanted working But I
3,Been This ways Congress structures exclude push working class elected These systems built lean wealth It shocking detached reality lot details I
4,Not long soliloquy Sinema offer single concrete value policy believes She lays goals Arizonans vision commitments It healthcare vibes Senate People deserve Grateful race amp nomination opened
5,RT NydiaVelazquez Policy negotiated press social media Nor publicly attacking colleague part proc
6,If real person We House floor week word Until I treat commentary deeply unserious Doesn bother bit deter progress
7,RT JaneMayerNYer Lawmakers added provision National Defense Authorization Act protecting Supreme Court spouses
8,RT ajplus Mutulu Shakur rapper Tupac Shakur stepfather released month 36 years federal prison The Black liber
9,RT BMWEDIBT The chance obtaining sick leave pass bills House Without passing sick leave sunk
10,RT ryangrim Union source tells push demand Biden include railway workers executive order mandates 56
11,Qban_Linx ryangrim Yes Much produce brought Hunts Point market workers 202 brought rail During strike railworkers stood w amp turned trains enforce strike That translated longer working relationship w railworkers 202 facilitated
12,HacknerTyler ryangrim Perfectly reasonable This w hand dealt WH sprung amp window lt 24h secure sick leave votes locked pass w changes Tanking option GOP votes moved sick leave alive
13,ryangrim Yes national leadership strategy local unions including rank file picketed alongside 202 nationals rejected ratification In NY 14 locals send paid sick Senate
14,Glad page railworkers paid sick days marcorubio A rarity The House asked full TA deal w sick days supported demanded railworkers Can count YES vote amendment
15,CathoIicConvert Had Google recall I Live Your Life feat Rihanna girl
16,RT FlyingWithSara Put Twitter hands dial Senators 202 224 3121 Tell vote paid sick leave Railroad W
17,RT noname month NonameBooks shipped 1 030 books incarcerated book club members christmas coming make
18,RT SeeMiaRoll Let sick days Paid sick leave disability issue Let support worker rights support amendment
19,RT JakeSherman I caught AOC rail strike situation She pushing hard increase paid sick leave 1 day
20,RT LaborRecipes AOC I work 6 days week 311 days year If I work day I I lucky 14 hours
21,awesome_hawks Teamsters Call member Congress tomorrow AM Ask support rail agreement includes paid sick days Even member Democrat Don assume support party plenty vote agreement w paid sick days Call
